title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;
Mobility Management Scheme for Context-Aware Transactions in Pervasive and Mobile Cyberspace;Muhammad Younas, Irfan Awan;Mar 13;https://ieeexplore.ieee.org/document/6195011/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6195011;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;4;16;10.1109/TIE.2012.2198032;y
Multi-step transactions specification and verification in a mobile database community;Rafat Alshorman, Walter Hussak;7-11 April 2008;https://ieeexplore.ieee.org/document/4530295/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4530295;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;1;0;10.1109/ICTTA.2008.4530295;y
On transaction processing with partial validation and timestamp ordering in mobile broadcast environments;V.C.S. Lee, Kwok-Wa Lam, S.H. Son, E.Y.M. Chan;Oct 02;https://ieeexplore.ieee.org/document/1039845/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1039845;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;7;90;10.1109/TC.2002.1039845;y
Real-time transaction management in mobile computing systems;E. Kayan, O. Ulusoy;21-21 April 1999;https://ieeexplore.ieee.org/document/765744/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=765744;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;5;40;10.1109/DASFAA.1999.765744;y
Real-time transaction processing with partial validation at mobile clients;V.C.S. Lee, Kwok-Wa Lam, S.H. Son;12-14 Dec. 2000;https://ieeexplore.ieee.org/document/896429/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=896429;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;3;18;10.1109/RTCSA.2000.896429;y
SODA: An Algorithm to Guarantee Correctness of Concurrent Transaction Execution in Mobile P2P Databases;Zhaowen Xing, Le Gruenwald, K. K. Phang;1-5 Sept. 2008;https://ieeexplore.ieee.org/document/4624738/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4624738;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;2;13;10.1109/DEXA.2008.96;y
Scheduling Real-Time Nested Transactions in Mobile Broadcast Environments;Xiangdong Lei, Wuke Li, Xiaoli Yuan;18-21 Nov. 2008;https://ieeexplore.ieee.org/document/4709120/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4709120;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;5;2;10.1109/ICYCS.2008.308;y
Transaction Service Discovery in Mobile Environments;A.K. Eidsvik, R. Karlsen, P. Grace, G. Blair;18-20 April 2006;https://ieeexplore.ieee.org/document/1620381/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1620381;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;1;0;10.1109/AINA.2006.335;y
3D graphics cache system to maximize memory utilization for an embedded system;Youngjin Chung, Kilwhan Lee, Jinaeon Lee, Yongsurk Lee;22-24 Nov. 2009;https://ieeexplore.ieee.org/document/5423818/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5423818;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;0;10.1109/SOCDC.2009.5423818;
"A 182 mW 94.3 f/s in Full HD Pattern-Matching Based Image Recognition Accelerator for an Embedded Vision System in 0.13-<formula formulatype=""inline""><tex Notation=""TeX"">$\mu{\rm m}$</tex></formula>CMOS Technology";Jun-Seok Park, Hyo-Eun Kim, Lee-Sup Kim;May 13;https://ieeexplore.ieee.org/document/6328252/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6328252;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;18;10.1109/TCSVT.2012.2223873;
A Laboratory Setup and Teaching Methodology for Wireless and Mobile Embedded Systems;Jean-Samuel Chenard, Zeljko Zilic, Milos Prokic;Aug 08;https://ieeexplore.ieee.org/document/4589051/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4589051;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;3;51;10.1109/TE.2008.919690;
A Low-Cost Real-Time Embedded Stereo Vision System for Accurate Disparity Estimation Based on Guided Image Filtering;Christos Ttofis, Christos Kyrkou, Theocharis Theocharides;01. Sep 16;https://ieeexplore.ieee.org/document/7353137/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7353137;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;11;10.1109/TC.2015.2506567;
A Robust Real-Time Embedded Vision System on an Unmanned Rotorcraft for Ground Target Following;Feng Lin, Xiangxu Dong, Ben M. Chen, Kai-Yew Lum, Tong H. Lee;Feb 12;https://ieeexplore.ieee.org/document/5940220/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5940220;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;54;10.1109/TIE.2011.2161248;
A Tracking System for Wireless Embedded Nodes Using Time-of-Flight Ranging;Evangelos B. Mazomenos, Jeff S. Reeve, Neil M. White, Andrew D. Brown;Dec 13;https://ieeexplore.ieee.org/document/6320554/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6320554;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;6;10.1109/TMC.2012.209;
A fast concurrency control algorithm in embedded real-time database system;Xiaoyu Qi;16-18 April 2010;https://ieeexplore.ieee.org/document/5486030/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5486030;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;10;92;10.1109/ICCET.2010.5486030;y
An Embedded Mobile ECG Reasoning System for Elderly Patients;Dong-Her Shih, Hsiu-Sen Chiang, Binshan Lin, Shih-Bin Lin;May 10;https://ieeexplore.ieee.org/document/4895720/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4895720;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;2;66;10.1109/TITB.2009.2021065;
An automatic flicker detection method for embedded camera systems;D. Poplin;May 06;https://ieeexplore.ieee.org/document/1649642/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1649642;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;11;10.1109/TCE.2006.1649642;
An embedded real-time finger-vein recognition system for mobile devices;Zhi Liu, Shangling Song;May 12;https://ieeexplore.ieee.org/document/6227456/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6227456;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;3;83;10.1109/TCE.2012.6227456;
Analysis of power dissipation in embedded systems using real-time operating systems;R.P. Dick, G. Lakshminarayana, A. Raghunathan, N.K. Jha;May 03;https://ieeexplore.ieee.org/document/1196204/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1196204;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;14;10.1109/TCAD.2003.810745;
Bio-Inspired Embedded Vision System for Autonomous Micro-Robots: The LGMD Case;Cheng Hu, Farshad Arvin, Caihua Xiong, Shigang Yue;Sep 17;https://ieeexplore.ieee.org/document/7480849/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7480849;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;1;10.1109/TCDS.2016.2574624;
Cache-Aware Scratchpad-Allocation Algorithms for Energy-Constrained Embedded Systems;M. Verma, L. Wehmeyer, P. Marwedel;Oct 06;https://ieeexplore.ieee.org/document/1677689/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1677689;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;5;13;10.1109/TCAD.2005.859523;
Comparison of Embedded System Design for Industrial Applications;Aleksander Malinowski, Hao Yu;May 11;https://ieeexplore.ieee.org/document/5755132/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5755132;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;97;10.1109/TII.2011.2124466;
Component-based embedded database for mobile embedded systems;S.I. Ahamed, S. Vallecha;5-7 April 2004;https://ieeexplore.ieee.org/document/1286512/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1286512;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;6;11;10.1109/ITCC.2004.1286512;y
Compressed memory swap for QoS of virtualized embedded systems;Jeaho Hwang, Jinkyu Jeong, Hwanju Kim, Jeonghwan Choi, Joonwon Lee;Aug 12;https://ieeexplore.ieee.org/document/6311325/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6311325;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;3;10.1109/TCE.2012.6311325;
Cosynthesis of energy-efficient multimode embedded systems with consideration of mode-execution probabilities;M.T. Schmitz, B.M. Al-Hashimi, P. Eles;Feb 05;https://ieeexplore.ieee.org/document/1386374/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1386374;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;21;10.1109/TCAD.2004.837729;
Cross-Layer Quality Assessment of Scalable Video Services on Mobile Embedded Systems;Kyungtae Kang, Won J. Jeon, Kyung-Joon Park, Roy H. Campbell, Klara Nahrstedt;Oct 10;https://ieeexplore.ieee.org/document/5499472/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5499472;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;7;10.1109/TMC.2010.119;
Design Methodologies of Transaction-Safe Cluster Allocations in TFAT File System for Embedded Storage Devices;Keshava Munegowda, G.T. Raju, Veera Manikandan Raju, T.N. Manjunath;22-24 Dec. 2014;https://ieeexplore.ieee.org/document/7033343/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7033343;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;4;0;10.1109/ICIT.2014.22;
Design and application of mobile payment system with Embedded Systems and Service Oriented Architecture;Erbug Celebi, Hasan Amca;9-11 April 2009;https://ieeexplore.ieee.org/document/5136422/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5136422;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;0;10.1109/SIU.2009.5136422;y
Design and construction of a robotic platform for 3D reconstruction through an embedded processing system;Eduardo Amaya-Cruz, Octavio Gutierrez-Frias, Alberto Luviano-Juarez, Humberto Sossa-Azuela;Jan 18;https://ieeexplore.ieee.org/document/8291449/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8291449;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;0;10.1109/TLA.2018.8291449;
Design of a Solar-Harvesting Circuit for Batteryless Embedded Systems;Davide Brunelli, Clemens Moser, Lothar Thiele, Luca Benini;Nov 09;https://ieeexplore.ieee.org/document/4785219/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4785219;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;3;243;10.1109/TCSI.2009.2015690;
Development of Embedded STT-MRAM for Mobile System-on-Chips;Kangho Lee, Seung H. Kang;Jan 11;https://ieeexplore.ieee.org/document/5676454/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5676454;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;2;103;10.1109/TMAG.2010.2075920;
Embedded Multisensor System for Safe Point-to-Point Navigation of Impaired Users;Adriano Mancini, Emanuele Frontoni, Primo Zingaretti;Dec 15;https://ieeexplore.ieee.org/document/7314916/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7314916;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;7;10.1109/TITS.2015.2489261;
Embedded NAND flash file system for mobile multimedia devices;Hyojun Kim, Youjip Won, Sooyong Kang;May 09;https://ieeexplore.ieee.org/document/5174420/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5174420;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;2;27;10.1109/TCE.2009.5174420;
Embedded Transmission of Multi-Service Over DTMB System;Xiaoqing Wang, Jintao Wang, Jun Wang, Yangang Li, Shigang Tang, Jian Song;Dec 10;https://ieeexplore.ieee.org/xpls/icp.jsp?arnumber=5559401;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5559401;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;8;10.1109/TBC.2010.2067550;
Embedded middleware and software development kit for area-based distributed mobile cache system;Hiroyuki Kasai;Feb 13;https://ieeexplore.ieee.org/document/6490271/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6490271;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;7;10.1109/TCE.2013.6490271;
Embedded system architecture for an WLAN-based dual mode mobile phone;Sung-Bong Jang, Young-Gab Kim, Hong-Seok Na, Doo-Kwon Baik;Aug 09;https://ieeexplore.ieee.org/document/5278035/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5278035;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;5;10.1109/TCE.2009.5278035;
Foreword Embedded Sensor Systems;Daniela De Venuto, Thilo Sauter;Jul 18;https://ieeexplore.ieee.org/document/8410953/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8410953;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;0;10.1109/TCPMT.2018.2850700;
Implementation and Evaluation of Raptor Codes on Embedded Systems;Todor Mladenov, Saeid Nooshabadi, Keseon Kim;Dec 11;https://ieeexplore.ieee.org/document/5601702/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5601702;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;21;10.1109/TC.2010.210;
Instruction code mapping for performance increase and energy reduction in embedded computer systems;S. Parameswaran, J. Henkel;Apr 05;https://ieeexplore.ieee.org/document/1411847/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1411847;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;0;10.1109/TVLSI.2004.842936;
Modernization of teaching in embedded systems design-an international collaborative project;S. Nooshabadi, J. Garside;May 06;https://ieeexplore.ieee.org/document/1629221/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1629221;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;2;80;10.1109/TE.2006.872402;
Non-preemptive demand paging technique for NAND flash-based real-time embedded systems;Wangyu Kim, Dongkun Shin;Aug 10;https://ieeexplore.ieee.org/document/5606291/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5606291;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;7;10.1109/TCE.2010.5606291;
Notice of Violation of IEEE Publication Principles&ltbr&gtRemote patient monitoring system for rural population using ultra low power embedded system;S. Navaneethakrishnan, R. Mahendar;3-5 Jan. 2014;https://ieeexplore.ieee.org/document/6921798/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6921798;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;0;10.1109/ICCCI.2014.6921798;
OTP on Demand - An Embedded System for User Authentication;Siva Janakiraman, Kalavagunta Sowmya Sree, V. Leela Manasa, Sundararaman Rajagopalan, K. Thenmozhi, Rengarajan Amirtharajan;4-6 Jan. 2018;https://ieeexplore.ieee.org/document/8441400/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8441400;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;1;0;10.1109/ICCCI.2018.8441400;
Handling disconnection in mobile database transaction;Romani Farid Ibrahim;12-14 Oct. 2011;https://ieeexplore.ieee.org/document/6111015/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6111015;Mobile+transactions+AND+compensation_IEEEXplore.csv;IEEEXplore;2;1;10.1109/ICAICT.2011.6111015;y
Optimized compensation transaction for mobile telecommunication systems;Y. Yoon;14-16 Nov. 1995;https://ieeexplore.ieee.org/document/500290/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=500290;Mobile+transactions+AND+compensation_IEEEXplore.csv;IEEEXplore;1;0;10.1109/GLOCOM.1995.500290;y
A lazy commit protocol for mobile transactions;Sharvanath Pathak, Gautam Barua;21-22 Feb. 2014;https://ieeexplore.ieee.org/document/6779363/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6779363;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;1;10.1109/IAdCC.2014.6779363;y
Advanced transaction scheduling protocol for multilevel secure database in wireless mobile network environment;Hee-Wan Kim, Dong-Soon Park, Hae-Kyung Rhee, Ung-Mo Kim;22-25 April 2001;https://ieeexplore.ieee.org/document/932094/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=932094;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;1;10.1109/ICATM.2001.932094;y
Comparing transaction commit protocols for mobile environments;C. Bobineau, C. Labbe, C. Roncancio, P. Serrano-Alvarado;3-3 Sept. 2004;https://ieeexplore.ieee.org/document/1333552/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1333552;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;2;10.1109/DEXA.2004.1333552;y
Design and analysis of a secure agent-based mobile bill payment protocol for bulk transactions;Pemika Limpittaya, Maykin Warasart, Supakorn Kungpisdan;30 May-1 June 2012;https://ieeexplore.ieee.org/document/6261928/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6261928;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;1;10.1109/JCSSE.2012.6261928;y
Petri nets analysis of transaction and submitter management protocols in mobile distributed computing environment;A. Zaslavsky, L.H. Yeo, S.J. Lai, B. Mitelman;20-23 Sept. 1995;https://ieeexplore.ieee.org/document/540132/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=540132;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;1;10.1109/ICCCN.1995.540132;y
TCOT-a timeout-based mobile transaction commitment protocol;V. Kumar, N. Prabhu, M.H. Dunham, A.Y. Seydim;Oct 02;https://ieeexplore.ieee.org/document/1039846/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1039846;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;16;128;10.1109/TC.2002.1039846;y
3-Axis Camera Motion Compensation Coupled with Target Tracking for Stabilized Video Capture from Small-Scale Flying Vehicle;Sun Yanjie, Dongwoon Jeon, Doo-Hyun Kim;3-5 July 2013;https://ieeexplore.ieee.org/document/6603673/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6603673;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;1;10.1109/IMIS.2013.42;
A 0.55 V 1.1 mW Artificial Intelligence Processor With On-Chip PVT Compensation for Autonomous Mobile Robots;Youchang Kim, Dongjoo Shin, Jinsu Lee, Yongsu Lee, Hoi-Jun Yoo;Feb 18;https://ieeexplore.ieee.org/document/8004525/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8004525;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;1;10.1109/TCSI.2017.2727510;
A 1.1 mW 32-thread artificial intelligence processor with 3-level transposition table and on-chip PVT compensation for autonomous mobile robots;Youchang Kim, Dongjoo Shin, Jinsu Lee, Hoi-Jun Yoo;20-22 April 2016;https://ieeexplore.ieee.org/document/7503671/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7503671;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;0;10.1109/CoolChips.2016.7503671;
A 15.5–39GHz BiCMOS VGA with phase shift compensation for 5G mobile communication transceivers;Fabio Padovan, Marc Tiebout, Andrea Neviani, Andrea Bevilacqua;12-15 Sept. 2016;https://ieeexplore.ieee.org/document/7598317/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7598317;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;2;10.1109/ESSCIRC.2016.7598317;
A CMOS dB-linear VGA with pre-distortion compensation for wireless communication applications;Yuanjin Zheng, Jiangnan Yan, Yong Ping Xu;23-26 May 2004;https://ieeexplore.ieee.org/document/1328319/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1328319;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;7;10.1109/ISCAS.2004.1328319;
A Compensation Method of the Forward Power Control in Multi-Service Hierarchical CDMA System;Jiang Ji, Kaizhi Huang, Liang Jin;21-25 Sept. 2007;https://ieeexplore.ieee.org/document/4339936/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4339936;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;0;10.1109/WICOM.2007.161;
A Current-Mode Buck Converter With Reconfigurable On-Chip Compensation and Adaptive Voltage Positioning;Ching-Jan Chen, Shao-Hung Lu, Sheng-Fu Hsiao, Yung-Jen Chen, Jian-Rong Huang;Jan 19;https://ieeexplore.ieee.org/document/8340182/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8340182;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;0;10.1109/TPEL.2018.2827949;
A Fast Digital Predistortion Algorithm for Radio-Frequency Power Amplifier Linearization With Loop Delay Compensation;Hao Li, Dae Hyun Kwon, Deming Chen, Yun Chiu;Jun 09;https://ieeexplore.ieee.org/document/4939433/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4939433;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;45;10.1109/JSTSP.2009.2020562;
A Hybrid AMOLED Driver IC for Real-Time TFT Nonuniformity Compensation;Jun-Suk Bang, Hyun-Sik Kim, Ki-Duk Kim, Oh-Jo Kwon, Choong-Sun Shin, Joohyung Lee, Gyu-Hyeong Cho;Apr 16;https://ieeexplore.ieee.org/document/7400971/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7400971;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;3;10.1109/JSSC.2015.2504416;
A Kind of Supplier Relationship Management Mechanism with Stock-Outs Compensation in E-Commerce;Guangshu Chang;21-25 Sept. 2007;https://ieeexplore.ieee.org/document/4340671/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4340671;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;0;10.1109/WICOM.2007.896;
A Minimal Fuzzy Gain Scheduling Speed Controller and Torque Compensation for the Variable Sampling System of BLDC Motors;Chung-Wen Hung, Jhih-Han Chen, Hsuan T. Chang;30 June-2 July 2011;https://ieeexplore.ieee.org/document/5976252/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5976252;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;4;10.1109/IMIS.2011.85;
A New Link Maintenance and Compensation Model for Cognitive UWB Radio Systems;Jin Tian, Guangguo Bi;21-23 June 2006;https://ieeexplore.ieee.org/document/4068578/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4068578;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;9;10.1109/ITST.2006.288867;
A Novel Compensation Method of Nonlinear Distortions in OFDM System;Jing Yang, Xiaomin Mu, Shouyi Yang, Lin Qi;12-15 Dec. 2006;https://ieeexplore.ieee.org/document/4212356/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4212356;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;0;10.1109/ISPACS.2006.364738;
A Smart Solution for Fair Value Compensation (FVC) in EV-Batteries Based Mobile Microgrid;Raziq Yaqub, Azaz Tariq, Yu Cao;17-19 Dec. 2012;https://ieeexplore.ieee.org/document/6424326/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6424326;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;1;10.1109/FIT.2012.47;
A comparison between ship-mounted and cage-mounted passive heave compensation systems;F.R. Driscoll, M. Nahon, R.G. Lueck;28 Sept.-1 Oct. 1998;https://ieeexplore.ieee.org/document/726310/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=726310;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;4;10.1109/OCEANS.1998.726310;
A comparison of human body compensation models for RSSI based localization and tracking;Jens Trogh, David Plets, Arno Thielens, Luc Martens, Wout Joseph;12-15 Sept. 2016;https://ieeexplore.ieee.org/document/7580832/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7580832;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;0;10.1109/ISC2.2016.7580832;
A compensation scheme for timing synchronization error In GPP-SDR LTE system;Xiaofeng Tao, Kaidong Wang, Haiyang He, Yanzhao Hou, Jiang Han;15-17 Aug. 2012;https://ieeexplore.ieee.org/document/6356904/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6356904;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;0;10.1109/ICCChina.2012.6356904;
A cross-polarization discrimination compensation algorithm for polarization modulation;Jinjin Yuan, Fangfang Liu, Caili Guo, Chunyan Feng, Yao Nie;4-8 Sept. 2016;https://ieeexplore.ieee.org/document/7794760/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7794760;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;2;10.1109/PIMRC.2016.7794760;
A digital Rayleigh fade compensation technique for coherent IJF-OQPSK systems;J. Yang, K. Feher;6-9 May 1990;https://ieeexplore.ieee.org/document/110412/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=110412;compensation+AND+(mobile+environments+OR+mobile+systems+OR+mobile+transactions)_IEEEXplore.csv;IEEEXplore;1;8;10.1109/VETEC.1990.110412;
