title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;Investigate further?;abstract viewed;
System and method of managing contactless payment transactions using a mobile communication device as a stored value device;A Sun, PC An, YC Lo, CH Lee, CW Pang… - US Patent …, 2011 - Google Patents;2011;https://patents.google.com/patent/US8014755B2/en;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;11;338;No DOI available;y;;
Transaction management for m-commerce at a mobile terminal;J Veijalainen, V Terziyan, H Tirri - Electronic Commerce Research and …, 2006 - Elsevier;2006;https://www.sciencedirect.com/science/article/pii/S1567422306000135;https://www.computer.org/csdl/proceedings/hicss/2003/1874/03/187430089a.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;8;78;No DOI available;y;;
Improving mobile database access over wide-area networks without degrading consistency;N Tolia, M Satyanarayanan, A Wolbach - … conference on Mobile systems …, 2007 - dl.acm.org;2007;https://dl.acm.org/citation.cfm?id=1247672;https://www.usenix.org/legacy/event/mobisys07/full_papers/p71.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;39;No DOI available;y;;y
Dealing with mobility: Issues and research challenges;E Pitoura, B Bhargava - 1993 - docs.lib.purdue.edu;1993;https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2082&context=cstech;https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2082&context=cstech;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;3;76;No DOI available;y;;y
Impact of mobility on transaction management;MH Dunham, V Kumar - … on Data engineering for wireless and mobile …, 1999 - dl.acm.org;1999;https://dl.acm.org/citation.cfm?id=313323;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;3;72;No DOI available;y;;y
The middleware support for consistency in distributed mobile applications;A Kozlova, D Kochnev… - Proc. of the Baltic …, 2004 - pdfs.semanticscholar.org;2004;https://pdfs.semanticscholar.org/0f07/74a0e7b8d11b500ecd70fb511582d55dbdca.pdf;https://pdfs.semanticscholar.org/0f07/74a0e7b8d11b500ecd70fb511582d55dbdca.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;11;No DOI available;y;;
An overview of transaction models in mobile environments;AY Seydim - Dallas: Departament od Computer Science …, 1999 - pdfs.semanticscholar.org;1999;https://pdfs.semanticscholar.org/047f/f8734a95b63115bd4d97d0d0d9cddf9ed546.pdf;https://pdfs.semanticscholar.org/047f/f8734a95b63115bd4d97d0d0d9cddf9ed546.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;4;13;No DOI available;y;;y
A scalable asynchronous cache consistency scheme (saccs) for mobile environments;Z Wang, SK Das, H Che… - IEEE transactions on …, 2004 - ieeexplore.ieee.org;2004;https://ieeexplore.ieee.org/abstract/document/1339249/;https://cse.uta.edu/research/Publications/CSE-2003-9.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;2;68;No DOI available;y;;y
Method of maintaining data consistency in a loose transaction model;IS Narang, KW Brannon, S Bhattacharya… - US Patent …, 2005 - Google Patents;2005;https://patents.google.com/patent/US6874001B2/en;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;2;164;No DOI available;y;;y
A DYNAMIC APPROACH TO TRANSACTIONAL CONSISTENCY IN MOBILE ENVIRONMENTS [J];HZ LIN, C CHEN, B ZHOU, YF PAN - Journal of Computer Research …, 2002 - en.cnki.com.cn;2002;http://en.cnki.com.cn/Article_en/CJFDTotal-JFYZ200201014.htm;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;16;No DOI available;y;;y
The Bayou architecture: Support for data sharing among mobile users;A Demers, K Petersen, M Spreitzer… - Mobile Computing …, 1994 - ieeexplore.ieee.org;1994;https://ieeexplore.ieee.org/abstract/document/4624416/;http://www.academia.edu/download/44572933/The_Bayou_Architecture_Support_for_Data_20160409-21644-1562oq8.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;5;434;No DOI available;y;;
Systems and methods to secure transactions via mobile devices;R Hirson, M Niejadlik - US Patent 8,412,626, 2013 - Google Patents;2013;https://patents.google.com/patent/US8412626B2/en;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;6;141;No DOI available;y;;
Method and system for discarding locally committed transactions to ensure consistency in a server cluster;S Shrivastava, JD Vert - US Patent 6,449,734, 2002 - Google Patents;2002;https://patents.google.com/patent/US6449734B1/en;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;2;110;No DOI available;y;;y
Automatic consistency assessment for query results in dynamic environments;J Payton, C Julien, GC Roman - Proceedings of the the 6th joint meeting …, 2007 - dl.acm.org;2007;https://dl.acm.org/citation.cfm?id=1287659;https://pdfs.semanticscholar.org/7aea/23bdd1f9f4305856cfa83a5138313dba8609.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;22;No DOI available;y;;
A unilateral commit protocol for mobile and disconnected computing;C Bobineau, P Pucheral… - Int. Conf. on Parallel …, 2000 - pdfs.semanticscholar.org;2000;https://pdfs.semanticscholar.org/3b11/f222c88b5ef04666976daa4af4f0c4c9694d.pdf;https://pdfs.semanticscholar.org/3b11/f222c88b5ef04666976daa4af4f0c4c9694d.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;2;50;No DOI available;y;;y
Transaction method with a mobile apparatus;R Ritter - US Patent 8,165,965, 2012 - Google Patents;2012;https://patents.google.com/patent/US8165965B2/en;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;2;93;No DOI available;y;;
Supporting read-only transactions in wireless broadcasting;E Pitoura - dexa, 1998 - computer.org;1998;https://www.computer.org/csdl/proceedings/dexa/1998/8353/00/83530428.pdf;http://cs.uoi.gr/tech_reports/publications/TR-1998-13.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;78;No DOI available;y;;
On the consistency problem in mobile distributed computing;R Guerraoui, C Hari - … international workshop on Principles of mobile …, 2002 - dl.acm.org;2002;https://dl.acm.org/citation.cfm?id=584501;https://infoscience.epfl.ch/record/83531/files/neg--1897423479p303-guerraoui.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;24;No DOI available;y;;y
Multiversion reconciliation for mobile databases;SH Phatak, BR Badrinath - Data Engineering, 1999 …, 1999 - ieeexplore.ieee.org;1999;https://ieeexplore.ieee.org/abstract/document/754974/;https://www.cs.rutgers.edu/~badri/papers/icde.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;73;No DOI available;y;;y
Mobile database systems;V Kumar - 2006 - books.google.com;2006;https://books.google.de/books?hl=de&lr=&id=ULmg1grduBMC&oi=fnd&pg=PR5&dq=Mobile+transactions+AND+consistency&ots=ljG8dqwiCf&sig=KJ5OJALEB1w-K0ApVpOjAisRaMo;https://pdfs.semanticscholar.org/444f/e5f098cf62752282fe73b60a5d8619c43716.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;2;72;No DOI available;y;;y
Ensuring Data Security & Consistency in FTIMA-A Fault Tolerant Infrastructure for Mobile Agents;U Manzoor, K Ijaz, W Shamim, AA Shahid - International Conference on …, 2007 - waset.org;2007;https://www.waset.org/publications/3550;https://www.waset.org/publications/3550;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;y;;
DCIM: Distributed cache invalidation method for maintaining cache consistency in wireless mobile networks;K Fawaz, H Artail - IEEE Transactions on Mobile Computing, 2013 - ieeexplore.ieee.org;2013;https://ieeexplore.ieee.org/abstract/document/6148232/;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;47;No DOI available;y;;y
Data duplication and consistency in a mobile, multidatabase environment;JB Lim, AR Hurson - Parallel and Distributed Systems, 1998 …, 1998 - ieeexplore.ieee.org;1998;https://ieeexplore.ieee.org/abstract/document/741019/;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;2;22;No DOI available;y;;y
Simba: Tunable end-to-end data consistency for mobile apps;D Perkins, N Agrawal, A Aranya, C Yu, Y Go… - Proceedings of the …, 2015 - dl.acm.org;2015;https://dl.acm.org/citation.cfm?id=2741974;https://web.eecs.umich.edu/~harshavm/papers/eurosys15.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;23;No DOI available;y;;
Information dissemination in partitionable mobile ad hoc networks;G Karumanchi, S Muralidharan… - … , 1999. Proceedings of …, 1999 - ieeexplore.ieee.org;1999;https://ieeexplore.ieee.org/abstract/document/805078/;https://pdfs.semanticscholar.org/db93/c9352dc8249b8610f90b52634df3ddb1cbe6.pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;206;No DOI available;y;;y
Energy-efficient caching and prefetching with data consistency in mobile distributed systems;H Shen, M Kumar, SK Das… - Parallel and Distributed …, 2004 - ieeexplore.ieee.org;2004;https://ieeexplore.ieee.org/abstract/document/1302995/;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;37;No DOI available;y;;y
Communications and consistency in mobile file systems;P Honeyman, LB Huston - 1995 - deepblue.lib.umich.edu;1995;https://deepblue.lib.umich.edu/handle/2027.42/107941;https://deepblue.lib.umich.edu/bitstream/handle/2027.42/107941/citi-tr-95-11.pdfsequence=1;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;33;No DOI available;y;;y
SSUM: smart server update mechanism for maintaining cache consistency in mobile environments;K Mershad, H Artail - IEEE Transactions on Mobile Computing, 2010 - ieeexplore.ieee.org;2010;https://ieeexplore.ieee.org/abstract/document/5383361/;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;39;No DOI available;y;;y
Mobile wireless computing: Solutions and challenges in data management;T Imielinski, BR Badrinath - 1993 - Citeseer;1993;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.55.3268&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.55.3268&rep=rep1&type=pdf;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;8;1050;No DOI available;y;;y
Mobile databases: a selection of open issues and research directions;G Bernard, J Ben-Othman, L Bouganim, G Canals… - ACM Sigmod …, 2004 - dl.acm.org;2004;https://dl.acm.org/citation.cfm?id=1024708;https://hal.inria.fr/inria-00320861/document;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;35;No DOI available;y;;y
Self-managing, disconnected processes and mechanisms for mobile e-business;J Sairamesh, S Goh, I Stanoi, CS Li… - … workshop on Mobile …, 2002 - dl.acm.org;2002;https://dl.acm.org/citation.cfm?id=570721;https://www.researchgate.net/profile/Chung_Sheng_Li/publication/221113244_Self-managing_disconnected_processes_and_mechanisms_for_mobile_e-business/links/552424640cf2caf11bfcc127.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;4;22;No DOI available;y;;
Experience with disconnected operation in a mobile computing environment;M Satyanarayanan, JJ Kistler, LB Mummert… - Mobile Computing, 1993 - Springer;1993;https://link.springer.com/chapter/10.1007/978-0-585-29603-6_20;https://www.usenix.org/legacy/publications/library/proceedings/mobile93/full_papers/satyanarayanan.txt;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;4;225;No DOI available;y;;y
A two-phase commit protocol for mobile wireless environment;N Nouali, A Doucet, H Drias - Proceedings of the 16th Australasian …, 2005 - dl.acm.org;2005;https://dl.acm.org/citation.cfm?id=1082237;http://crpit.com/confpapers/CRPITV39Nouali.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;3;55;No DOI available;y;;y
An evaluation of real-time transaction management issues in mobile database systems;E Kayan, Ö Ulusoy - The Computer Journal, 1999 - academic.oup.com;1999;https://academic.oup.com/comjnl/article-abstract/42/6/501/365474;https://pdfs.semanticscholar.org/fa25/d287c15b6f9590b749ff3024e1f6d6a019d4.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;4;54;No DOI available;y;;y
Disconnected operation in the Thor object-oriented database system;R Gruber, F Kaashoek, B Liskov… - Mobile Computing …, 1994 - ieeexplore.ieee.org;1994;https://ieeexplore.ieee.org/abstract/document/512734/;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.129.9233&rep=rep1&type=pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;90;No DOI available;y;;
Distributed transactions in a mobile computing system;VR Narasayya - … IEEE Workshop on Mobile Computing Systems and …, 1994 - Citeseer;1994;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.37.2129&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.37.2129&rep=rep1&type=pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;19;No DOI available;y;;y
Handling mobile clients: A case for indirect interaction;BR Badrinath, A Bakre, T Imielinski… - Proceedings of IEEE 4th …, 1993 - computer.org;1993;https://www.computer.org/csdl/proceedings/wwos/1993/4000/00/00348166.pdf;https://www.computer.org/csdl/proceedings/wwos/1993/4000/00/00348166.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;178;No DOI available;y;;
A survey of academic and commercial approaches to transaction support in mobile computing environments;C Türker, G Zini - Technical report, 2003 - research-collection.ethz.ch;2003;https://www.research-collection.ethz.ch/handle/20.500.11850/69764;https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/69764/1/eth-4740-01.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;3;16;No DOI available;y;;y
Database server organization for handling mobile clients;BR Badrinath, S Phatak - Technical Report, 1997 - Citeseer;1997;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.51.4974&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.51.4974&rep=rep1&type=pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;25;No DOI available;y;;
Disconnected operations in mobile environments;D Conan, S Chabridon, G Bernard - ipdps, 2002 - computer.org;2002;https://www.computer.org/csdl/proceedings/ipdps/2002/1573/02/15730192.pdf;https://www.researchgate.net/profile/Guy_Bernard/publication/220952929_Disconnected_Operations_in_Mobile_Environments/links/09e4150bdd26e6d1e3000000/Disconnected-Operations-in-Mobile-Environments.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;41;No DOI available;y;;y
Data partitioning for disconnected client server databases;SH Phatak, BR Badrinath - … on Data engineering for wireless and mobile …, 1999 - dl.acm.org;1999;https://dl.acm.org/citation.cfm?id=313422;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.25.1176&rep=rep1&type=pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;35;No DOI available;y;;y
Information handling system and method for maintaining coherency between network servers and mobile terminals;MS Chen, KL Wu, PS Yu - US Patent 6,128,648, 2000 - Google Patents;2000;https://patents.google.com/patent/US6128648A/en;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;25;No DOI available;y;;y
Enabling cooperation among disconnected mobile users;J Klingemann, T Tesch, J Wasch - coopis, 1997 - computer.org;1997;https://www.computer.org/csdl/proceedings/coopis/1997/7946/00/79460036.pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.17.6939&rep=rep1&type=pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;22;No DOI available;y;;
Cache invalidation scheme for mobile computing systems with real-time data;JCH Yuen, E Chan, KY Lam, HW Leung - ACM Sigmod Record, 2000 - dl.acm.org;2000;https://dl.acm.org/citation.cfm?id=369282;http://delab.csd.auth.gr/~dimitris/courses/mpc_fall05/papers/invalidation/ACM_SIGMOD_Record_00_29_4_invalidation_real_time_data.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;70;No DOI available;y;;y
Transmission of continuous query results in mobile computing systems;HG Gök, Ö Ulusoy - Information Sciences, 2000 - Elsevier;2000;https://www.sciencedirect.com/science/article/pii/S0020025500000062;http://dspace.bilkent.edu.tr/bitstream/handle/11693/25042/Transmission%20of%20continuous%20query%20results%20in%20mobile%20computing%20systems.pdf?sequence=1&isAllowed=y;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;61;No DOI available;y;;
Protocols for committing mobile transactions;N Nouali1&2, H Drias2&3, A Doucet - 2006 - Citeseer;2006;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.167.1790&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.167.1790&rep=rep1&type=pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;y;;y
A new framework for handling mobile clients in a client–server database system;N Pissinou, C Dunu, K Makki - computer Communications, 2000 - Elsevier;2000;https://www.sciencedirect.com/science/article/pii/S0140366499002170;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;18;No DOI available;y;;
Gold Rush: Mobile Transaction Middleware with Java-Object Replication.;MA Butrico, H Chang, A Cocchi, NH Cohen, DG Shea… - COOTS, 1997 - static.usenix.org;1997;http://static.usenix.org/publications/library/proceedings/coots97/full_papers/butrico/butrico.pdf;http://static.usenix.org/publications/library/proceedings/coots97/full_papers/butrico/butrico.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;36;No DOI available;y;;
A new replication strategy for unforeseeable disconnection under agent-based mobile computing system;KKS Lee, YH Chin - Parallel and Distributed Systems, 1998 …, 1998 - ieeexplore.ieee.org;1998;https://ieeexplore.ieee.org/abstract/document/741037/;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;9;No DOI available;y;;y
A framework for analyzing mobile transaction models;R Hirsch, A Coratella, M Felder… - Journal of Database …, 2001 - igi-global.com;2001;https://www.igi-global.com/article/journal-database-management-jdm/3267;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;8;20;No DOI available;y;;y
Concurrency control in mobile environments: Issues & challenges;SA Moiz, SN Pal, J Kumar… - International …, 2011 - pdfs.semanticscholar.org;2011;https://pdfs.semanticscholar.org/b1f2/79f8d4f33f0b7fefcdb76b55282e3625c94f.pdf;https://pdfs.semanticscholar.org/b1f2/79f8d4f33f0b7fefcdb76b55282e3625c94f.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;y;;y
M-commerce transaction management with multi-agent support;M Younas, KM Chao, R Anane - … Information Networking and …, 2003 - ieeexplore.ieee.org;2003;https://ieeexplore.ieee.org/abstract/document/1192889/;https://pdfs.semanticscholar.org/9d9d/b2a6a62394ea2ca311c6272f5064e4966a1a.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;10;No DOI available;y;;y
DataX: an approach to ubiquitous database access;H Lei, M Blount, C Tait - Mobile Computing Systems and …, 1999 - ieeexplore.ieee.org;1999;https://ieeexplore.ieee.org/abstract/document/749279/;https://pdfs.semanticscholar.org/25da/daae6b36dc437505abd0af83fc4e4019b5ff.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;31;No DOI available;y;;
Seamless migration of one or more business processes and their work environment between computing devices and a network;SF Goh, J Sairamesh, I Stanoi - US Patent 7,269,645, 2007 - Google Patents;2007;https://patents.google.com/patent/US7269645B2/en;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;27;No DOI available;y;;
Replica placement algorithms for mobile transaction systems;M Tu, P Li, L Xiao, IL Yen… - IEEE Transactions on …, 2006 - ieeexplore.ieee.org;2006;https://ieeexplore.ieee.org/abstract/document/1637421/;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;4;24;No DOI available;y;;y
Conflict resolution and reconciliation in disconnected databases;S Hemant, PBR Badrinath - dexa, 1999 - computer.org;1999;https://www.computer.org/csdl/proceedings/dexa/1999/0281/00/02810076.pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.128.1996&rep=rep1&type=pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;26;No DOI available;y;;y
An asynchronous recovery scheme based on optimistic message logging for mobile computing systems;T Park, HY Yeom - icdcs, 2000 - computer.org;2000;https://www.computer.org/csdl/proceedings/icdcs/2000/0601/00/06010436.pdf;https://pdfs.semanticscholar.org/8723/c868df06b46de8963bb87e2b8d3bd57217e8.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;59;No DOI available;y;;y
Disconnection tolerance in soft real-time mobile databases.;L Amanton, B Sadeg… - Computers and Their …, 2001 - academia.edu;2001;http://www.academia.edu/download/42123559/Disconnection_tolerance_in_soft_real-tim20160205-16348-c1eryf.pdf;http://www.academia.edu/download/42123559/Disconnection_tolerance_in_soft_real-tim20160205-16348-c1eryf.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;y;;y
Exploiting planned disconnections in mobile environments;JA Holliday, D Agrawal… - Research Issues in Data …, 2000 - ieeexplore.ieee.org;2000;https://ieeexplore.ieee.org/abstract/document/836496/;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.32.654&rep=rep1&type=pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;14;No DOI available;y;;y
A new strategy on mobile transaction handling supporting disconnection [J];X DUAN, X WEI - Journal of Heilongjiang Institute of Technology, 2008 - en.cnki.com.cn;2008;http://en.cnki.com.cn/Article_en/CJFDTOTAL-JTGZ200804018.htm;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;3;No DOI available;y;;y
Transaction-centric split synchronization mechanism for mobile e-business applications;MS Choi, YK Kim, J Chang - Data Engineering Issues in E …, 2005 - ieeexplore.ieee.org;2005;https://ieeexplore.ieee.org/abstract/document/1517705/;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;y;;
An improved kangaroo transaction model using surrogate objects for distributed mobile system;S Ravimaran, MA Mohamed - … Data Engineering for Wireless and Mobile …, 2011 - dl.acm.org;2011;https://dl.acm.org/citation.cfm?id=1999319;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;y;;y
Disconnection Metadata for Distributed Applications in Mobile Environments.;N Kouici, D Conan, G Bernard - PDPTA, 2003 - researchgate.net;2003;https://www.researchgate.net/profile/Guy_Bernard/publication/221134441_Disconnection_Metadata_for_Distributed_Applications_in_Mobile_Environments/links/09e4150bdd26e4bdae000000/Disconnection-Metadata-for-Distributed-Applications-in-Mobile-Environments.pdf;https://www.researchgate.net/profile/Guy_Bernard/publication/221134441_Disconnection_Metadata_for_Distributed_Applications_in_Mobile_Environments/links/09e4150bdd26e4bdae000000/Disconnection-Metadata-for-Distributed-Applications-in-Mobile-Environments.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;15;No DOI available;y;;
Primary copy method and its modifications for database replication in distributed mobile computing environment;A Zaslavsky, M Faiz, B Srinivasan… - … ., 15th Symposium on, 1996 - ieeexplore.ieee.org;1996;https://ieeexplore.ieee.org/abstract/document/559719/;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;y;;
Handling selfishness in replica allocation over a mobile ad hoc network;JH Choi, KS Shim, SK Lee… - … Transactions on mobile …, 2012 - ieeexplore.ieee.org;2012;https://ieeexplore.ieee.org/abstract/document/5740900/;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;78;No DOI available;y;;
Performance Analysis of Improved Cache Invalidation Scheme in Mobile Computing Environment;MJP JC, K Thanushkodi - IJCSNS, 2009 - pdfs.semanticscholar.org;2009;https://pdfs.semanticscholar.org/6db4/1e7617e3e065d2acccd01d9a5094be366729.pdf;https://pdfs.semanticscholar.org/6db4/1e7617e3e065d2acccd01d9a5094be366729.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;y;;y
Reservations for conflict avoidance in a mobile database system;N Preguiça, JL Martins, M Cunha… - … conference on Mobile …, 2003 - dl.acm.org;2003;https://dl.acm.org/citation.cfm?id=1189038;https://www.usenix.org/publications/library/proceedings/mobisys03/tech/full_papers/preguica/preguica.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;36;No DOI available;y;;y
Efficient cache invalidation schemes for mobile data accesses;PJ Chuang, YS Chiu - Information Sciences, 2011 - Elsevier;2011;https://www.sciencedirect.com/science/article/pii/S0020025511003367;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;y;;y
Improve performance of disconnected operation through submitting by probability and transferring transactions in groups;L YanSheng, S XiongKai - Computer Networks and Mobile …, 2003 - ieeexplore.ieee.org;2003;https://ieeexplore.ieee.org/abstract/document/1243100/;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;y;;y
Evolving a model of transaction management with embedded concurrency control for mobile database systems;S Bhalla - Information and Software Technology, 2003 - Elsevier;2003;https://www.sciencedirect.com/science/article/pii/S0950584903000454;http://delab.csd.auth.gr/~dimitris/courses/mpc_fall06/papers/transactions/Elsevier_Information_Software_Technology_45_9_2003_Evolving%20a%20model%20of%20transactionnext%20term%20management%20with%20embedded%20concurrency%20control%20for%20previous%20termmobilenext%20term%20database.pdf;Embedded+systems+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;4;13;No DOI available;y;;y
Cooperative computing for distributed embedded systems;C Borcea, D Iyer, P Kang, A Saxena… - … Computing Systems …, 2002 - ieeexplore.ieee.org;2002;https://ieeexplore.ieee.org/abstract/document/1022260/;ftp://ftp.cs.rutgers.edu/http/pub/technical-reports/work/dcs-tr-464.pdf;Embedded+systems+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;88;No DOI available;y;;
Transport protocol optimization for energy efficient wireless embedded systems;D Bertozzi, A Raghunathan, L Benini… - … , Automation and Test …, 2003 - ieeexplore.ieee.org;2003;https://ieeexplore.ieee.org/abstract/document/1253690/;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.6.259&rep=rep1&type=pdf;Embedded+systems+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;49;No DOI available;y;;
Distributed lock management for mobile transactions;J Jing, O Bukhres, A Elmagarmid - … Computing Systems, 1995 …, 1995 - ieeexplore.ieee.org;1995;https://ieeexplore.ieee.org/abstract/document/500010/;https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2171&context=cstech;Movement+management+AND+transactions_GoogleScholar.csv;GoogleScholar;4;112;No DOI available;y;;y
Perspectives on the CAP Theorem;S Gilbert, NA Lynch - Computer, 2012 - ieeexplore.ieee.org;2012;https://ieeexplore.ieee.org/iel5/2/5306045/06122006.pdf;https://dspace.mit.edu/openaccess-disseminate/1721.1/79112;Mobile+transactions+AND+CAP+theorem_GoogleScholar.csv;GoogleScholar;1;61;No DOI available;y;;y
